Phrase,Frequency,Average Rating
schönes Hotel,971,4.8
freundliches Personal,794,4.76
nächstes Jahr,769,4.93
gutes Essen,556,4.72
ganzen Tag,489,4.52
große Auswahl,475,4.75
nettes Personal,465,4.87
anderen Hotels,463,4.25
Sehr schönes Hotel,397,4.88
schöne Anlage,370,4.65
leckeres Essen,370,4.92
tolles Hotel,363,4.84
gesamte Personal,344,4.88
großes Lob,332,4.82
schöner Urlaub,326,4.77
schönen Urlaub,317,4.74
Sterne Hotel,310,3.53
sehr schönes Hotel,295,4.84
gepflegte Anlage,295,4.86
ersten Mal,294,4.69
gutes Hotel,281,4.71
zweiten Mal,263,4.85
sauberes Hotel,250,4.85
schöne Zeit,246,4.89
saubere Zimmer,245,4.86
carte Restaurants,241,4.6
super Service,238,4.89
tollen Urlaub,237,4.92
gute Laune,235,4.86
erste mal,234,4.79
erste Mal,231,4.83
beste Hotel,225,4.92
gesamte Anlage,222,4.7
Tolles Hotel,212,4.9
besonderer Dank,198,4.91
nächsten Tag,197,3.5
offenes Ohr,190,4.9
letztes Jahr,190,4.45
guter Service,189,4.78
Sehr freundliches Personal,184,4.86
gesamte Team,182,4.93
ganze Personal,172,4.94
besonderen Dank,170,4.88
großes Dankeschön,166,4.92
freundliche Mitarbeiter,165,4.83
schöne Zimmer,165,4.85
sehr freundliches Personal,165,4.88
erholsamen Urlaub,163,4.74
hohem Niveau,163,4.69
super Hotel,162,4.89
nächsten Urlaub,157,4.93
ganze Anlage,157,4.69
ganzen Hotel,156,4.49
ganze Team,152,4.94
tolle Zeit,152,4.92
toller Urlaub,151,4.9
gelungener Urlaub,147,4.87
zuvorkommendes Personal,146,4.86
Gutes Essen,145,4.86
ersten Tag,143,4.23
nächsten Jahr,143,4.85
super Urlaub,143,4.94
guter Qualität,141,4.57
sehr schöner Urlaub,141,4.83
herzlichen Dank,140,4.88
Freundliches Personal,139,4.86
sehr gutes Essen,139,4.77
saubere Anlage,137,4.75
hilfsbereites Personal,135,4.87
guten Zustand,133,4.46
ersten mal,132,4.72
Sehr gutes Hotel,130,4.92
wunderschönen Urlaub,127,4.92
gesamten Hotel,126,4.5
freundliche Personal,126,4.72
gesamten Anlage,125,4.67
kleinen Kindern,125,4.35
gute Stimmung,124,4.89
zweite Mal,122,4.8
tolle Anlage,122,4.79
guten Service,120,4.58
dritten Mal,119,4.79
Großes Lob,117,4.77
grosse Auswahl,117,4.76
abwechslungsreiches Essen,116,4.84
große Anlage,115,4.76
laute Musik,114,3.61
anderes Hotel,114,3.75
2. Mal,114,4.73
zweite mal,113,4.86
letzte Mal,113,4.77
erholsamer Urlaub,113,4.73
sehr nettes Personal,111,4.96
Sterne Hotels,110,3.64
wunderschöner Urlaub,110,4.92
toller Service,110,4.9
Sehr nettes Personal,110,4.86
letzte mal,108,4.5
Sehr schöne Anlage,107,4.75
russische Gäste,107,3.95
unvergesslichen Urlaub,106,4.96
nette Mitarbeiter,106,4.84
aufmerksames Personal,105,4.78
gute Lage,104,4.57
große Zimmer,104,4.75
schöner Strand,104,4.65
Nächstes Jahr,101,4.91
letzten Tag,100,4.04
besten Hotels,100,4.84
tolles Essen,99,4.91
weitläufige Anlage,99,4.76
schönes Zimmer,96,4.63
tollen Service,96,4.8
letzten Jahr,95,4.42
Liebe Grüße,95,4.93
Tolle Anlage,94,4.87
ganze Hotel,93,4.69
Leckeres Essen,93,4.88
anderen Gästen,90,4.05
andere Hotels,89,4.06
sehr schöne Anlage,89,4.71
ganze Zeit,88,4.15
super Job,88,4.82
live Musik,88,4.85
Sehr gutes Essen,88,4.82
freundlichen Personal,86,4.85
nächsten Besuch,86,4.86
entspannten Urlaub,86,4.7
gutem Essen,86,4.46
ganze Familie,86,4.78
gepflegtes Hotel,85,4.92
anderen Hotel,85,4.26
nächste Jahr,85,4.94
freundlichem Personal,85,4.8
besonderes Lob,85,4.82
großen Dank,84,4.93
kleine Kinder,84,4.33
sehr große Auswahl,83,4.82
ganzen Anlage,83,4.67
3. Mal,82,4.71
wunderschönes Hotel,82,4.87
verschiedene Aktivitäten,82,4.91
Besonderer Dank,82,4.92
zweiten mal,81,4.78
tollen Job,81,4.86
nächsten Aufenthalt,81,4.88
schönes hotel,80,4.91
guten Job,80,4.76
empfehlenswertes Hotel,79,4.89
nächste Mal,78,4.83
Nettes Personal,77,4.73
andere Gäste,77,3.59
Herzlichen Dank,77,4.94
perfekter Urlaub,75,4.99
nächsten Mal,74,4.78
sehr gutes Hotel,74,4.71
nette Leute,73,4.97
gute Auswahl,73,4.79
gutem Gewissen,73,4.86
Saubere Zimmer,72,4.95
wunderschöne Anlage,71,4.78
frische Handtücher,70,4.45
schöne Hotelanlage,70,4.8
freundlichen Grüßen,69,4.59
gute Qualität,68,4.6
nette Personal,68,4.85
immer gute Laune,67,4.93
höchstem Niveau,67,4.83
freie Liegen,66,4.52
Sehr guter Service,66,4.93
gute Unterhaltung,65,4.93
super Anlage,64,4.8
Schöne Anlage,64,4.56
seitlichem Meerblick,64,4.37
letzten Jahren,64,4.43
riesige Auswahl,64,4.84
türkische Küche,63,4.37
kurzer Zeit,63,4.54
sehr schöne Zeit,63,4.91
gute Arbeit,63,4.86
guten Bewertungen,62,3.11
herzliches Dankeschön,62,4.85
riesen Auswahl,62,4.9
gesamte Hotel,62,4.72
liebe Grüße,61,4.92
vollsten Zufriedenheit,61,4.87
schönen Hotel,61,4.62
sehr guten Zustand,60,4.68
unmittelbarer Nähe,60,4.5
freundlicher Service,60,4.62
halbe Stunde,60,3.83
sehr gepflegte Anlage,59,4.82
sehr leckeres Essen,59,4.95
großer Auswahl,59,4.76
letzten Mal,59,4.65
tolles Team,59,4.98
2. mal,59,4.64
anderen Mitarbeiter,58,4.61
gute Küche,58,4.74
nächste mal,58,4.78
4. Mal,58,4.81
sehr guter Qualität,58,4.81
wunderschönen Hotel,57,4.76
leckerem Essen,57,4.88
nächstes jahr,57,4.98
hoher Qualität,57,4.82
Gutes Hotel,56,4.52
hohen Niveau,56,4.79
leckere Cocktails,56,4.89
gepflegte Hotelanlage,56,4.79
Wunderschönes Hotel,55,4.86
super Lage,55,4.86
nächsten mal,55,4.77
tollen Hotel,55,4.89
sehr schönen Urlaub,55,4.82
gutem Zustand,55,4.35
erste Klasse,55,4.93
sauberes Zimmer,54,4.63
tolle Animation,54,4.86
frisches Obst,54,4.59
toller Strand,54,4.75
komplette Anlage,54,4.7
seitlichen Meerblick,54,4.31
tollen Aufenthalt,53,4.88
schönen Aufenthalt,53,4.9
anderes Zimmer,53,3.53
grosses Lob,53,4.67
gutem Service,53,4.62
Animations Team,53,4.83
nette Bedienung,52,4.87
ganzen Familie,52,4.91
verschiedenen Restaurants,52,4.83
gesamte Hotelanlage,51,4.73
sauberer Strand,51,4.83
gute Animation,51,4.87
großes Hotel,51,4.72
schöne Woche,50,4.79
großes Zimmer,50,4.47
Tolles Essen,50,4.83
direkte Strandlage,50,4.73
besten Cocktails,50,4.92
gute Essen,49,4.55
super Animation,49,4.97
ersten Blick,49,3.11
perfekten Urlaub,49,5.0
sehr freundliche Mitarbeiter,48,4.91
lieben Dank,48,4.93
zweiten Tag,48,3.6
schönen Strand,48,4.67
großen Auswahl,48,4.88
tolles Personal,48,4.92
positiven Bewertungen,47,3.25
angenehme Atmosphäre,47,4.85
erste Eindruck,47,4.24
russischen Gäste,47,3.85
gesamten Team,47,4.92
Große Auswahl,47,4.88
freundliche Bedienung,46,4.7
schöne Hotel,46,4.79
grosses Dankeschön,46,4.73
super Essen,46,4.94
Einziges Manko,46,4.43
nette Menschen,46,4.77
sehr guter Service,46,4.74
erster Urlaub,46,4.65
Animation Team,46,4.89
anderen Gäste,45,3.83
guten Eindruck,45,4.29
super Team,45,4.95
ersten Moment,45,4.82
schöne Aussicht,44,4.64
zweites Mal,44,4.3
Schöner Strand,44,4.72
schlechtem Wetter,44,4.66
besonderes Dankeschön,44,4.89
tolles Zimmer,43,4.86
tolle Lage,43,4.67
freundlichen Mitarbeiter,43,4.73
gesamten Personal,43,4.82
junge Leute,43,4.28
Sehr leckeres Essen,43,4.98
familienfreundliches Hotel,43,4.88
vollen Zügen,43,4.77
erster Stelle,42,4.86
familiäre Atmosphäre,42,4.86
Sehr sauberes Hotel,42,4.93
vierten Mal,42,4.67
deutsche Gäste,42,4.25
dritte Mal,42,4.76
unvergesslicher Urlaub,42,4.98
ganz großes Lob,42,4.92
gepflegten Anlage,42,4.81
geräumige Zimmer,41,4.76
sehr sauberes Hotel,41,4.81
sehr guten Service,41,4.66
gutes essen,41,4.83
keinster Weise,41,3.71
anderen Seite,41,4.1
großen Pool,41,4.68
verschiedene Pools,41,4.71
ersten Minute,41,4.78
sportliche Aktivitäten,41,4.88
sportlichen Aktivitäten,41,4.9
2. Tag,40,3.89
tolles hotel,40,4.98
tolles Programm,40,4.95
dritte mal,40,4.88
hohe Qualität,40,4.82
Guter Service,40,4.85
grüne Anlage,40,4.91
direktem Meerblick,39,4.56
großer Dank,39,4.88
traumhaften Urlaub,39,5.0
4. mal,39,4.88
sehr hohem Niveau,39,4.82
aufmerksamer Service,38,4.82
schöner Aufenthalt,38,4.67
alkoholische Getränke,38,4.25
angenehmen Aufenthalt,38,4.62
Wunderschöne Anlage,38,4.92
Schöne Zimmer,37,4.68
3. mal,37,4.79
schöne Gartenanlage,37,4.42
wunderschöne Zeit,37,4.92
Sehr schönes hotel,37,4.95
erstes Mal,37,4.71
ganze Woche,37,3.78
alkoholischen Getränke,37,4.15
verschiedenen Pools,37,4.86
nettem Personal,37,4.89
gesamten Personals,37,4.95
italienische Restaurant,37,4.63
verschiedene Restaurants,36,4.86
nächsten Morgen,36,3.39
freundliches personal,36,4.7
super Personal,36,4.94
vielfältiges Essen,36,4.81
super Zimmer,36,4.95
tolle Arbeit,36,4.83
sehr gute Arbeit,36,4.86
gute Betreuung,36,4.84
kürzester Zeit,36,4.89
anderen Restaurants,35,4.38
wunderschöne Tage,35,4.91
nettes personal,35,4.97
sehr guten Job,35,4.88
bequeme Betten,35,4.76
Sehr schöne Zimmer,35,4.83
Beste Hotel,35,4.87
beste Urlaub,35,5.0
gepflegte Gartenanlage,35,4.86
traumhafter Urlaub,35,4.89
Direkte Strandlage,35,4.91
schöne Tage,34,4.77
neues Zimmer,34,3.59
Freundliche Mitarbeiter,34,4.76
5. Mal,34,4.8
tolle Shows,34,4.82
wunderbaren Urlaub,34,4.91
wiederholten Male,33,4.88
schöne Lage,33,4.68
modernes Hotel,33,4.79
letzten Abend,33,3.76
abendlichen Shows,33,4.74
tolle Betreuung,33,4.91
abwechslungsreiches Programm,33,4.88
Besonderes Lob,33,4.77
tollen Anlage,33,4.94
sehr freundlichem Personal,33,4.91
riesige Anlage,33,4.64
Live Musik,33,4.73
Letztes Jahr,33,4.55
großes Danke,33,4.92
tolles Erlebnis,33,4.88
gelegenes Hotel,32,4.75
kleines Hotel,32,4.45
absoluter Traum,32,4.92
schönen Ausblick,32,4.67
leckere Essen,32,4.89
sehr schöne Zimmer,32,4.81
tolle Zimmer,32,4.81
türkischen Riviera,32,4.25
Sehr freundliche Mitarbeiter,32,4.97
nächste Urlaub,32,5.0
tolle Angebote,32,4.78
großer Pool,32,4.77
entspannter Urlaub,32,4.91
gutes Personal,32,4.78
direkten Zugang,32,4.65
super Arbeit,32,4.91
zweites Zuhause,32,4.97
wiederholten Mal,32,4.83
Einziger Kritikpunkt,32,4.71
großen Wert,32,4.62
tolle Woche,32,5.0
freundliches Hotel,31,4.81
kurze Wege,31,4.58
sehr gute Qualität,31,4.65
besten Service,31,4.94
verschiedenen Bars,31,4.68
super Stimmung,31,4.94
ganzen Urlaub,31,4.58
komplette Personal,31,5.0
gute Musik,31,4.76
guter Laune,31,4.55
gute Service,31,4.79
ganzen Team,31,4.94
Sterne Haus,30,3.1
geführtes Hotel,30,4.73
nette Dame,30,4.5
sehr empfehlenswertes Hotel,30,4.87
beheizten Pool,30,4.64
bessere Hotels,30,2.47
volle Punktzahl,30,4.77
sehr saubere Zimmer,30,4.79
sehr gute Lage,30,4.77
Toller Service,30,4.95
ganz besonderen Dank,30,4.94
tolle Aktivitäten,30,4.9
perfektes Hotel,30,4.93
einzige Manko,30,4.6
gutes hotel,29,4.8
nächstes Mal,29,4.56
netten Personal,29,4.97
hervorragenden Service,29,4.83
lange Wartezeiten,29,3.48
sehr schönes Zimmer,29,4.66
eigenen Strand,29,4.68
direkter Strandlage,29,4.79
tolle Aussicht,29,4.73
große Poolanlage,29,4.69
gepflegten Eindruck,29,4.16
wunderbare Zeit,28,4.89
tolle Atmosphäre,28,4.9
ersten Abend,28,4.32
tollem Essen,28,4.86
tolle Mitarbeiter,28,4.91
8. Mal,28,4.87
schönen Anlage,28,4.81
große Mühe,28,4.78
letzten Jahre,28,4.36
exzellenten Service,28,4.96
bester Qualität,28,4.79
Russische Gäste,28,3.52
ersten Tage,27,3.95
carte Restaurant,27,4.57
italienischen Restaurant,27,4.31
kleinen Kinder,27,4.33
komplette Team,27,5.0
Familienfreundliches Hotel,27,4.89
schöne Atmosphäre,27,4.72
gute Cocktails,27,4.56
tolle Unterhaltung,27,4.91
gepflegten Zustand,27,4.63
größten Teil,27,4.22
auch nächstes Jahr,27,4.89
großen Balkon,27,4.67
freundlichen Mitarbeitern,27,4.69
absolute Hammer,27,4.93
hervorragendes Essen,27,4.93
türkische Restaurant,27,4.54
Sehr gepflegte Anlage,27,4.89
gute Atmosphäre,26,4.89
guter Lage,26,4.58
hilfsbereite Personal,26,4.96
tollem Service,26,4.93
nächstes mal,26,4.78
schöne Poolanlage,26,4.84
letzter Besuch,26,4.42
neue Handtücher,26,4.26
neues Hotel,26,4.07
gutem Wetter,26,4.48
sehr tolles Hotel,26,4.96
leckere Speisen,26,4.81
Hervorragendes Essen,26,4.85
großes Kompliment,26,4.88
große Hotelanlage,26,4.73
5. mal,26,4.86
Sterne Niveau,26,3.75
tolle Stimmung,26,4.81
türkische Verhältnisse,26,4.27
sehr schönes hotel,26,4.89
netter Service,26,4.67
wunderschönen Aufenthalt,26,4.96
hohen Standard,26,4.69
ganze Nacht,26,2.79
wunderschöne Hotel,26,4.84
zweiter Aufenthalt,26,4.65
kleines Manko,26,4.62
1. Mal,26,4.7
sehr laute Musik,26,3.48
Sehr schöne Hotelanlage,26,4.81
schönste Hotel,26,4.96
super nettes Personal,26,4.97
angebotenen Speisen,26,4.48
renovierte Zimmer,26,4.54
schöner Pool,25,4.67
schönen Zimmern,25,4.77
ersten Besuch,25,4.72
russischen Gästen,25,3.73
